geo_id,geography,date_start,date_end,platform_and_product,facet,level,variable,cluster_name,value,region,augmentation_ratio
AK,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_pct,directive,41.007194244604314,West,1.0350877192982455
AK,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_pct,learning,18.705035971223023,West,1.0350877192982455
AK,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_pct,task iteration,23.7410071942446,West,1.0350877192982455
AL,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_pct,directive,37.3581847649919,Southeast,1.2911877394636018
AL,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_pct,feedback loop,10.453808752025932,Southeast,1.2911877394636018
AL,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_pct,learning,22.285251215559157,Southeast,1.2911877394636018
AL,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_pct,task iteration,21.88006482982172,Southeast,1.2911877394636018
AL,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_pct,validation,4.943273905996758,Southeast,1.2911877394636018
AL,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),onet_task,0,onet_task_count,correct errors by making appropriate changes and rechecking the program to ensure that the desired results are produced.,16.0,Southeast,1.2911877394636018
AL,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),onet_task,0,onet_task_pct,correct errors by making appropriate changes and rechecking the program to ensure that the desired results are produced.,1.2965964343598055,Southeast,1.2911877394636018
AL,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),onet_task,0,onet_task_count,"design, build, or maintain web sites, using authoring or scripting languages, content creation tools, management tools, and digital media.",18.0,Southeast,1.2911877394636018
AL,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),onet_task,0,onet_task_pct,"design, build, or maintain web sites, using authoring or scripting languages, content creation tools, management tools, and digital media.",1.4586709886547813,Southeast,1.2911877394636018
AL,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),onet_task,0,onet_task_count,"diagnose, troubleshoot, and resolve hardware, software, or other network and system problems, and replace defective components when necessary.",29.0,Southeast,1.2911877394636018
AL,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),onet_task,0,onet_task_pct,"diagnose, troubleshoot, and resolve hardware, software, or other network and system problems, and replace defective components when necessary.",2.3500810372771475,Southeast,1.2911877394636018
